materials  IE_A  IE_B  X_A  X_B  xA  xB  Vcell_over_Vatom
Cr3Ge                 6.76600  7.89700  1.66000  2.01000  0.75000  0.25000  0.82857
Cr3Si                 6.76600  8.15100  1.66000  1.90000  0.75000  0.25000  0.82727
Nb3Ga                 6.75800  5.99800  1.60000  1.81000  0.75000  0.25000  0.91183
V3Ga                  6.74600  5.99800  1.63000  1.81000  0.75000  0.25000  0.94144
Mo3Ga                 7.09200  5.99800  2.16000  1.81000  0.75000  0.25000  0.89190
Nb3Ge                 6.75800  7.89700  1.60000  2.01000  0.75000  0.25000  0.91066
V3Ge                  6.74600  7.89700  1.63000  2.01000  0.75000  0.25000  0.95374
Mo3Si                 7.09200  8.15100  2.16000  1.90000  0.75000  0.25000  0.88300
Nb3Sb                 6.75800  8.64300  1.60000  2.05000  0.75000  0.25000  0.91475
Nb3Sn                 6.75800  7.34400  1.60000  1.96000  0.75000  0.25000  0.90236
V3Sn                  6.74600  7.34400  1.63000  1.96000  0.75000  0.25000  0.93327
LaBi                  5.57700  7.28600  1.10000  2.02000  0.50000  0.50000  0.70264
HfC                   6.82400  11.26000  1.30000  2.55000  0.50000  0.50000  0.97248
ZrC                   6.63400  11.26000  1.33000  2.55000  0.50000  0.50000  0.93694
LaSb                  5.57700  8.64300  1.10000  2.05000  0.50000  0.50000  0.70827
YSb                   6.21800  8.64300  1.22000  2.05000  0.50000  0.50000  0.67495
ThC                   6.08300  11.26000  1.30000  2.55000  0.50000  0.50000  1.02166
YSe                   6.21800  9.75200  1.22000  2.55000  0.50000  0.50000  0.77525
CeAs                  5.53800  9.81400  1.12000  2.18000  0.50000  0.50000  0.75850
ErAs                  6.10700  9.81400  1.24000  2.18000  0.50000  0.50000  0.75058
GdAs                  6.15000  9.81400  1.20000  2.18000  0.50000  0.50000  0.76646
TbAs                  5.86400  9.81400  1.21000  2.18000  0.50000  0.50000  0.76377
YbAs                  6.25300  9.81400  1.25000  2.18000  0.50000  0.50000  0.74644
CeBi                  5.53800  7.28600  1.12000  2.02000  0.50000  0.50000  0.69950
DyBi                  5.93800  7.28600  1.22000  2.02000  0.50000  0.50000  0.70822
ErBi                  6.10700  7.28600  1.24000  2.02000  0.50000  0.50000  0.70185
GdBi                  6.15000  7.28600  1.20000  2.02000  0.50000  0.50000  0.71834
PrBi                  5.46100  7.28600  1.13000  2.02000  0.50000  0.50000  0.71808
CrC                   6.76600  11.26000  1.66000  2.55000  0.50000  0.50000  0.79987
FeC                   7.90200  11.26000  1.83000  2.55000  0.50000  0.50000  0.47767
ScC                   6.56100  11.26000  1.36000  2.55000  0.50000  0.50000  0.97752
TaC                   7.88700  11.26000  1.50000  2.55000  0.50000  0.50000  1.01626
VC                    6.74600  11.26000  1.63000  2.55000  0.50000  0.50000  0.93171
CeN                   5.53800  14.53000  1.12000  3.04000  0.50000  0.50000  1.16904
CeP                   5.53800  10.48000  1.12000  2.19000  0.50000  0.50000  0.77979
CeS                   5.53800  10.36000  1.12000  2.58000  0.50000  0.50000  0.84232
CeSb                  5.53800  8.64300  1.12000  2.05000  0.50000  0.50000  0.70432
CeSe                  5.53800  9.75200  1.12000  2.55000  0.50000  0.50000  0.79974
CeTe                  5.53800  9.00900  1.12000  2.10000  0.50000  0.50000  0.72343
DyS                   5.93800  10.36000  1.22000  2.58000  0.50000  0.50000  0.84218
DySb                  5.93800  8.64300  1.22000  2.05000  0.50000  0.50000  0.69984
ErP                   6.10700  10.48000  1.24000  2.19000  0.50000  0.50000  0.76098
ErS                   6.10700  10.36000  1.24000  2.58000  0.50000  0.50000  0.82768
ErSb                  6.10700  8.64300  1.24000  2.05000  0.50000  0.50000  0.69662
ErSe                  6.10700  9.75200  1.24000  2.55000  0.50000  0.50000  0.78518
GdP                   6.15000  10.48000  1.20000  2.19000  0.50000  0.50000  0.78052
GdSb                  6.15000  8.64300  1.20000  2.05000  0.50000  0.50000  0.71469
GdSe                  6.15000  9.75200  1.20000  2.55000  0.50000  0.50000  0.80496
GdTe                  6.15000  9.00900  1.20000  2.10000  0.50000  0.50000  0.73524
PdH                   8.33700  13.59000  2.20000  2.20000  0.50000  0.50000  0.69512
RhH                   7.45900  13.59000  2.28000  2.20000  0.50000  0.50000  0.75177
HfN                   6.82400  14.53000  1.30000  3.04000  0.50000  0.50000  1.04428
HoP                   6.02100  10.48000  1.23000  2.19000  0.50000  0.50000  0.78376
HoS                   6.02100  10.36000  1.23000  2.58000  0.50000  0.50000  0.84495
HoSb                  6.02100  8.64300  1.23000  2.05000  0.50000  0.50000  0.71018
LaSe                  5.57700  9.75200  1.10000  2.55000  0.50000  0.50000  0.80425
LaTe                  5.57700  9.00900  1.10000  2.10000  0.50000  0.50000  0.72265
LuS                   5.42500  10.36000  1.27000  2.58000  0.50000  0.50000  0.83278
TcN                   7.27500  14.53000  1.90000  3.04000  0.50000  0.50000  0.93932
YbN                   6.25300  14.53000  1.25000  3.04000  0.50000  0.50000  1.05285
NdS                   5.52500  10.36000  1.14000  2.58000  0.50000  0.50000  0.83942
NdSb                  5.52500  8.64300  1.14000  2.05000  0.50000  0.50000  0.71726
NdSe                  5.52500  9.75200  1.14000  2.55000  0.50000  0.50000  0.80347
NdTe                  5.52500  9.00900  1.14000  2.10000  0.50000  0.50000  0.73910
